timeTick, n_out0, n_out1, n_out2, n_out3, cmd_thrust, gyro_x, gyro_y, gyro_z, n_12, otX0, otY0, otZ0, otRoll0, otPitch0, otYaw0
36454, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0.035958584398031235, 0.05485682561993599, 0.03397718071937561, -0.7402939258391489, -0.16375310201763682, 3.3946993432342287
36464, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0037882376927882433, 0.03939299285411835, 0.04049335792660713, 0.0, 0.03589465841650963, 0.05497979745268822, 0.033955153077840805, -0.7452780932189904, -0.173561888217165, 3.4460551409220335
36474, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004191252402961254, -0.19136150181293488, 0.034348372370004654, 0.0, 0.035853467881679535, 0.05498101934790611, 0.033981189131736755, -0.7731083305625047, -0.16216969911116053, 3.436712884027581
36484, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03876136988401413, -0.2685542702674866, -0.047407325357198715, 0.0, 0.035975150763988495, 0.054865505546331406, 0.0339583195745945, -0.7552876241161237, -0.2073296122487136, 3.3967511736961105
36494, 0.0, 0.0, 0.0, 0.0, 0.0, -0.21207724511623383, 0.12612703442573547, -0.11316676437854767, 0.0, 0.035860590636730194, 0.05499538034200668, 0.03397094085812569, -0.7730323430586874, -0.1600090703681758, 3.435568533306641
36504, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21486634016036987, -0.300521582365036, -0.302444189786911, 0.0, 0.035963527858257294, 0.05485502630472183, 0.0339239239692688, -0.7443920614967833, -0.1925089413853982, 3.3885224889216072
36514, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06689856946468353, 0.14182931184768677, 0.0785704106092453, 0.0, 0.035971056669950485, 0.054861292243003845, 0.0339730866253376, -0.77859012301547, -0.18726868654994178, 3.3980100659722736
36524, 0.0, 0.0, 0.0, 0.0, 0.0, -0.08316599577665329, 0.04759954661130905, -0.05198347941040993, 0.0, 0.03595877066254616, 0.054859746247529984, 0.03397322818636894, -0.7219521121894995, -0.16182920516266108, 3.3877846976267922
36534, 0.0, 0.0, 0.0, 0.0, 0.0, -0.18588028848171234, 0.19698087871074677, 0.09194375574588776, 0.0, 0.03596579656004906, 0.05486277490854263, 0.03394802659749985, -0.7193128297713373, -0.17408716106010047, 3.386945018451594
36544, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04363570362329483, -0.22494396567344666, -0.1725904643535614, 0.0, 0.03576141223311424, 0.05494050309062004, 0.03403720259666443, -0.8209370958038885, 0.02458636769961231, 3.3568469036605912
36554, 0.0, 0.0, 0.0, 0.0, 0.0, 0.030327502638101578, -0.0008151045185513794, -0.04374377056956291, 0.0, 0.03595928102731705, 0.054880231618881226, 0.033972661942243576, -0.759453225500027, -0.23352971971553416, 3.3955926225596618
36564, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027975305914878845, 0.13197192549705505, -0.09383472800254822, 0.0, 0.03597581014037132, 0.054846156388521194, 0.033926934003829956, -0.7632283840195248, -0.21351331931327877, 3.383811365311756
36574, 0.0, 0.0, 0.0, 0.0, 0.0, 0.053338341414928436, -0.13922318816184998, -0.15497265756130219, 0.0, 0.03593531996011734, 0.05486626178026199, 0.03396982327103615, -0.7365529211198913, -0.18883331295631933, 3.3886995663626296
36584, 0.0, 0.0, 0.0, 0.0, 0.0, -0.22987420856952667, 0.3019060790538788, 0.01279811654239893, 0.0, 0.03596355393528938, 0.05486982688307762, 0.03397443890571594, -0.7130518001407183, -0.19612371181545996, 3.393842040661948
36594, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17982548475265503, -0.02305806428194046, -0.06062140688300133, 0.0, 0.03588001802563667, 0.0549774244427681, 0.033940307796001434, -0.7636459738634045, -0.20517405786071663, 3.447874739690822
36604, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08082610368728638, -0.025039907544851303, 0.058506518602371216, 0.0, 0.03595253825187683, 0.054860301315784454, 0.03397860750555992, -0.723842929886745, -0.15343858336328253, 3.387819269609305
36614, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05403375253081322, 0.1375931352376938, 0.04604244604706764, 0.0, 0.03596005588769913, 0.05488097295165062, 0.03398524969816208, -0.7355204359386702, -0.16967092781854376, 3.4008377243702683
