otX0,otY0,otZ0,vx0,vy0,vz0,otRoll0,otPitch0,otYaw0,p0,q0,r0,T0,time
-1.5767290592193604,-1.4540985822677612,-1.0924828052520752,0.295543909072876,-0.18978536128997803,-0.3190056085586548,0.1125887781381607,-0.08116436004638672,-1.3136342763900757,0.06544648855924606,0.07542579621076584,0.09266653656959534,0.08526190370321274,0.0
-1.5737736225128174,-1.4559963941574097,-1.095672845840454,0.3065858483314514,-0.19385772943496704,-0.3135533034801483,0.11316145211458206,-0.08051899075508118,-1.3126254081726074,0.10066420584917068,0.10025055706501007,0.09025263041257858,0.24702629446983337,1.0
-1.5707077980041504,-1.4579349756240845,-1.0988084077835083,0.31790924072265625,-0.19794076681137085,-0.3103068768978119,0.11408659815788269,-0.07962480932474136,-1.3116121292114258,0.12666411697864532,0.12074283510446548,0.08892074972391129,0.3801838755607605,2.0
-1.5675287246704102,-1.4599143266677856,-1.1019114255905151,0.3294920027256012,-0.20197933912277222,-0.30887526273727417,0.11527177691459656,-0.07852645963430405,-1.310588002204895,0.14585888385772705,0.14228489995002747,0.08795801550149918,0.44854536652565,3.0
-1.5642337799072266,-1.4619340896606445,-1.1050001382827759,0.3412395715713501,-0.20590192079544067,-0.3083755671977997,0.11664873361587524,-0.07721421867609024,-1.3095474243164062,0.15943896770477295,0.1579718440771103,0.09049440920352936,0.5460658669471741,4.0
-1.5608214139938354,-1.4639930725097656,-1.1080838441848755,0.3532191514968872,-0.20969776809215546,-0.30920344591140747,0.11815936118364334,-0.07575055956840515,-1.3084615468978882,0.1700553148984909,0.15223193168640137,0.08996224403381348,0.6263406276702881,5.0
-1.5572892427444458,-1.4660900831222534,-1.1111758947372437,0.3654106855392456,-0.2133336067199707,-0.31112349033355713,0.11977849155664444,-0.07434490323066711,-1.3073856830596924,0.17789296805858612,0.16139107942581177,0.08851532638072968,0.6924194097518921,6.0
-1.5536351203918457,-1.4682234525680542,-1.1142871379852295,0.37780195474624634,-0.21680067479610443,-0.31394049525260925,0.12147760391235352,-0.07284832745790482,-1.306311011314392,0.18367920815944672,0.1647425889968872,0.09311768412590027,0.7468127012252808,7.0
-1.5498571395874023,-1.4703915119171143,-1.1174265146255493,0.3903781771659851,-0.22007857263088226,-0.3174947202205658,0.12323237210512161,-0.07132588326931,-1.3051841259002686,0.1879509687423706,0.15314452350139618,0.09719032049179077,0.7915869355201721,8.0
-1.545953392982483,-1.4725923538208008,-1.1206014156341553,0.40312740206718445,-0.22315509617328644,-0.3216543197631836,0.125029519200325,-0.06992551684379578,-1.3040283918380737,0.19110465049743652,0.12571114301681519,0.09231594204902649,0.828443169593811,9.0
-1.5419220924377441,-1.4748239517211914,-1.1238179206848145,0.41604313254356384,-0.22603507339954376,-0.32630980014801025,0.1268654316663742,-0.06879334151744843,-1.3029530048370361,0.19343289732933044,0.09097284078598022,0.0860864594578743,0.8587816953659058,10.0
-1.5377616882324219,-1.4770842790603638,-1.127081036567688,0.4291244447231293,-0.22874104976654053,-0.33136993646621704,0.12873299419879913,-0.06799984723329544,-1.3019816875457764,0.19515176117420197,0.08097589015960693,0.08638579398393631,0.883755087852478,11.0
-1.5334703922271729,-1.4793716669082642,-1.130394697189331,0.44237369298934937,-0.23130443692207336,-0.33675888180732727,0.130619078874588,-0.06730768829584122,-1.3010188341140747,0.19642072916030884,0.050335370004177094,0.08570302277803421,0.8425893783569336,12.0
-1.529046654701233,-1.481684684753418,-1.133762240409851,0.4556657671928406,-0.2337074726819992,-0.34157684445381165,0.1325215846300125,-0.06692025065422058,-1.3001015186309814,0.19735755026340485,0.046891823410987854,0.08331917226314545,0.8536944389343262,13.0
-1.5244899988174438,-1.484021782875061,-1.1371780633926392,0.46911221742630005,-0.2360028773546219,-0.34653183817863464,0.13443565368652344,-0.06656553596258163,-1.2992116212844849,0.1980491727590561,0.012250367552042007,0.08039339631795883,0.8795674443244934,14.0
-1.5197988748550415,-1.4863817691802979,-1.1406433582305908,0.4827446937561035,-0.2381993681192398,-0.3518238663673401,0.13636194169521332,-0.06655188649892807,-1.2983967065811157,0.19654609262943268,0.000852661207318306,0.08226844668388367,0.9008650183677673,15.0
-1.514971375465393,-1.4887638092041016,-1.144161581993103,0.4965651035308838,-0.24032986164093018,-0.35738828778266907,0.13827300071716309,-0.06665527820587158,-1.2975786924362183,0.19745011627674103,-0.016801852732896805,0.07617805898189545,0.8711540102958679,16.0
-1.5100057125091553,-1.4911670684814453,-1.1477354764938354,0.5104702711105347,-0.24238772690296173,-0.36253198981285095,0.14019867777824402,-0.06692668795585632,-1.2968456745147705,0.19811750948429108,-0.032542094588279724,0.07770590484142303,0.8939394354820251,17.0
-1.5049010515213013,-1.4935909509658813,-1.1513607501983643,0.5245739817619324,-0.24440975487232208,-0.3679662346839905,0.14213132858276367,-0.06735750287771225,-1.296120047569275,0.19861023128032684,-0.027758406475186348,0.08240552246570587,0.9126954078674316,18.0
-1.4996553659439087,-1.496035099029541,-1.1550403833389282,0.538873553276062,-0.24641017615795135,-0.3736349940299988,0.14406505227088928,-0.0677490159869194,-1.2953418493270874,0.19897398352622986,-0.01126299798488617,0.07730960100889206,0.928134560585022,19.0
-1.4942666292190552,-1.4984991550445557,-1.1587767601013184,0.5533614158630371,-0.24838262796401978,-0.37949326634407043,0.14600397646427155,-0.06797146797180176,-1.2945911884307861,0.19924253225326538,0.003939186222851276,0.0760963037610054,0.940843403339386,20.0
-1.4887330532073975,-1.5009829998016357,-1.162571668624878,0.5680274367332458,-0.2503089904785156,-0.38550469279289246,0.14794476330280304,-0.06804320216178894,-1.2938308715820312,0.19944079220294952,-0.027105536311864853,0.0727146565914154,0.9387298226356506,21.0
-1.4830527305603027,-1.5034860372543335,-1.166426658630371,0.5828349590301514,-0.2521684765815735,-0.3914690315723419,0.1498928815126419,-0.0684184804558754,-1.2931500673294067,0.1995871514081955,-0.03268082067370415,0.06795480847358704,0.9495649933815002,22.0
-1.477224349975586,-1.5060076713562012,-1.1703413724899292,0.5978214740753174,-0.25399723649024963,-0.3975597023963928,0.1518460512161255,-0.06884310394525528,-1.2925255298614502,0.19969521462917328,-0.04232154041528702,0.06456009298563004,0.9584840536117554,23.0
-1.4712461233139038,-1.5085476636886597,-1.1743170022964478,0.6129844188690186,-0.25580018758773804,-0.4037501811981201,0.15380340814590454,-0.06935910880565643,-1.291949987411499,0.19977499544620514,-0.026968348771333694,0.06344611197710037,0.9658257961273193,24.0
-1.465116262435913,-1.5111056566238403,-1.1783545017242432,0.6283231377601624,-0.25758662819862366,-0.41001829504966736,0.15576046705245972,-0.06972280889749527,-1.2913628816604614,0.17813365161418915,-0.015224061906337738,0.06384459137916565,0.9270184636116028,25.0
