timeTick, roll, pitch, yaw, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, otX0, otY0, otZ0, otRoll0, otPitch0, otYaw0, cmdThrust, cmdRoll, cmdPitch, cmdYaw, actThrust, rRoll, rPitch, rYaw, accx, accy, accz, gyrox, gyroy, gyroz
154991, 0.0702093243598938, 2.16153883934021, 9.274144172668457, -1.9691178798675537, -3.9838080406188965, 0.32382071018218994, -0.22253815829753876, -0.500304102897644, 0.16412955522537231, -2.3392069339752197, -3.996190071105957, 0.5535387396812439, -5.263407006721063, -1.7445172352555858, 84.50646429832783, 0, 0, 0, 0, 0, 0, 0, 0, 0.0020972907077521086, -0.0409199558198452, 1.0570019483566284, -22.943294525146484, -0.564892053604126, -19.98350715637207
155001, -0.13150140643119812, 2.1745684146881104, 9.072186470031738, -1.974691390991211, -3.988466739654541, 0.32612118124961853, -0.23716168105602264, -0.4996245801448822, 0.1711777150630951, -2.345827102661133, -3.994056463241577, 0.5580053925514221, -4.91000399424033, -1.598003524744371, 84.46936509749086, 0, 0, 0, 0, 0, 0, 0, 0, 0.0020972907077521086, -0.0409199558198452, 1.0570019483566284, -17.509092330932617, -0.8767293095588684, -19.256193161010742
155011, -0.3481309711933136, 2.2309131622314453, 8.765419960021973, -1.9800024032592773, -3.9924471378326416, 0.32830753922462463, -0.2509880065917969, -0.4962216019630432, 0.1788434386253357, -2.3523788452148438, -3.991772174835205, 0.5630701184272766, -5.029282367228463, -2.108246993176607, 84.56199038957554, 0, 0, 0, 0, 0, 0, 0, 0, 0.0068964664824306965, -0.07980260998010635, 1.068763017654419, -21.359800338745117, 1.0420424938201904, -18.80978775024414
155021, -0.5516872406005859, 2.2671351432800293, 8.464896202087402, -1.9800024032592773, -3.9924471378326416, 0.32830753922462463, -0.2509880065917969, -0.4962216019630432, 0.1788434386253357, -2.359356164932251, -3.989678382873535, 0.5683396458625793, -5.652073213596266, -2.4983923878428413, 84.4595456126277, 0, 0, 0, 0, 0, 0, 0, 0, 0.004725490231066942, -0.039892103523015976, 1.0149743556976318, -17.172231674194336, 6.841827392578125, -18.263338088989258
155031, -0.7317365407943726, 2.266627073287964, 8.172638893127441, -1.9800024032592773, -3.9924471378326416, 0.32830753922462463, -0.2509880065917969, -0.4962216019630432, 0.1788434386253357, -2.365478038787842, -3.9873664379119873, 0.5716191530227661, -4.320092488540447, -1.1791437596796186, 84.47139880763001, 0, 0, 0, 0, 0, 0, 0, 0, 0.019233129918575287, -0.04537046328186989, 1.0300287008285522, -9.519632339477539, -0.6866567134857178, -18.413232803344727
155041, -0.8620312213897705, 2.297576665878296, 7.882502555847168, -1.9800024032592773, -3.9924471378326416, 0.32830753922462463, -0.2509880065917969, -0.4962216019630432, 0.1788434386253357, -2.365478038787842, -3.9873664379119873, 0.5716191530227661, -4.320092488540447, -1.1791437596796186, 84.47139880763001, 0, 0, 0, 0, 0, 0, 0, 0, 0.02268751710653305, -0.0603339709341526, 1.0731894969940186, -9.519632339477539, -0.6866567134857178, -18.413232803344727
155061, -1.0490907430648804, 2.2244515419006348, 7.412987232208252, -1.9800024032592773, -3.9924471378326416, 0.32830753922462463, -0.2509880065917969, -0.4962216019630432, 0.1788434386253357, -2.3985965251922607, -3.9752376079559326, 0.5949543118476868, -3.465798639497212, -0.9466658689894132, 84.37024174148044, 0, 0, 0, 0, 0, 0, 0, 0, -0.002716941060498357, -0.06491237878799438, 1.0818991661071777, -3.1617257595062256, 4.074072360992432, -16.57447624206543
155161, -2.2885775566101074, 1.5652961730957031, 5.628472805023193, -1.9800024032592773, -3.9924471378326416, 0.32830753922462463, -0.2509880065917969, -0.4962216019630432, 0.1788434386253357, -2.4051601886749268, -3.9726364612579346, 0.5996320843696594, -3.545600356677921, -1.2706892056992274, 84.34163111373604, 0, 0, 0, 0, 0, 0, 0, 0, -0.002716941060498357, -0.06491237878799438, 1.0818991661071777, -18.87126350402832, 6.1890997886657715, -11.938068389892578
155181, -2.8951520919799805, 1.4851303100585938, 4.9730000495910645, -1.9800024032592773, -3.9924471378326416, 0.32830753922462463, -0.2509880065917969, -0.4962216019630432, 0.1788434386253357, -2.412205219268799, -3.9701480865478516, 0.6054083704948425, -3.8719687248199426, -2.4700762476250304, 84.19304618477526, 0, 0, 0, 0, 0, 0, 0, 0, 0.0021470661740750074, -0.041710346937179565, 1.0662072896957397, -20.08553123474121, 3.1658146381378174, -9.73832893371582
155191, -3.1686882972717285, 1.5072903633117676, 4.725332260131836, -1.9800024032592773, -3.9924471378326416, 0.32830753922462463, -0.2509880065917969, -0.4962216019630432, 0.1788434386253357, -2.4184563159942627, -3.967327356338501, 0.6094213128089905, -3.621092204476644, -1.7438470168680738, 84.248003876413, 0, 0, 0, 0, 0, 0, 0, 0, 0.0021470661740750074, -0.041710346937179565, 1.0662072896957397, -14.078790664672852, 11.019855499267578, -9.694348335266113
155201, -3.377359390258789, 1.463507056236267, 4.498610973358154, -1.9800024032592773, -3.9924471378326416, 0.32830753922462463, -0.2509880065917969, -0.4962216019630432, 0.1788434386253357, -2.4184563159942627, -3.967327356338501, 0.6094213128089905, -3.621092204476644, -1.7438470168680738, 84.248003876413, 0, 0, 0, 0, 0, 0, 0, 0, 0.0021470661740750074, -0.041710346937179565, 1.0662072896957397, -23.959854125976562, 11.440594673156738, -7.61891508102417
155211, -3.693664073944092, 1.4031946659088135, 4.311344146728516, -2.0650508403778076, -4.048487663269043, 0.3776330351829529, -0.3911330997943878, -0.3337365984916687, 0.28971606492996216, -2.425281047821045, -3.964923858642578, 0.6135212779045105, -2.8589304786270957, -3.3044706360596763, 84.09470032101419, 0, 0, 0, 0, 0, 0, 0, 0, 0.003904885146766901, -0.07181837409734726, 1.0694801807403564, -26.76613998413086, 15.391592025756836, -6.8370585441589355
155221, -4.024533748626709, 1.279874324798584, 4.142422199249268, -2.0722076892852783, -4.048689842224121, 0.38222628831863403, -0.4039638638496399, -0.31687667965888977, 0.3013741970062256, -2.438088893890381, -3.958965539932251, 0.6236067414283752, -3.629788021742767, -2.3046891841360377, 84.10887943199194, 0, 0, 0, 0, 0, 0, 0, 0, -0.02015601098537445, -0.06947167217731476, 1.040541648864746, -35.802066802978516, 27.218259811401367, -6.300999641418457
